,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
請叫貨,,耗材,縫線,Prolene 7-0 圓針 (W8304),1,條,9.3mm,,0,0,2017/1/1,,,,,,,,,,0,0,,,2017/1/1,已過期或即將過期,
-,,耗材,縫線,Silk 4-0 角針 (SC164),1,條,16mm,佳合,7,7,2018/10/1,,,,,,,,,,7,0,,,2018/10/1,已過期或即將過期,
-,,耗材,縫線,Vicryl 2-0(圓針)(J345H),5,條,36條/盒,,37,37,2027/5/2,,,,,,,,,,37,0,,,2027/5/2, ,
-,,耗材,刀片,10號 刀片,60,片,100片/盒,steril,380,400,1993/2/1,2026/3/5,-20,,,,,,,,380,-20,,,1993/2/1,已過期或即將過期,
-,,耗材,刀片,11號 刀片,60,片,100片/盒,KIATO,100,100,2026/2/28,,,,,,,,,,100,0,,,2026/2/28,已過期或即將過期,
-,,耗材,刀片,15號 刀片,60,片,100片/盒,KIATO,198,198,2013/12/1,,,,,,,,,,198,0,,,2013/12/1,已過期或即將過期,
-,,耗材,刀片,20號 刀片,60,片,100片/盒,Ribbel,200,200,2028/6/30,,,,,,,,,,200,0,,,2028/6/30, ,
請叫貨,,耗材,刀片,21號 刀片,60,片,100片/盒,kai,46,46,2006/3/1,,,,,,,,,,46,0,,,2006/3/1,已過期或即將過期,
-,,耗材,刀片,21號 刀片,60,片,100片/盒,Swann-Morton,106,99,1998/1/1,2026/3/5,7,,,,,,,,106,0,,,1998/1/1,已過期或即將過期,
-,,耗材,刀片,22號 刀片,60,片,100片/盒,Swann-Morton,97,97,1991/5/21,,,,,,,,,,97,0,,,1991/5/21,已過期或即將過期,
-,,耗材,針筒,50 ml 針筒,20,個,20unit/盒,TERUMO,22,22,2024/3/1,,,,,,,,,,22,0,,,2024/3/1,已過期或即將過期,
-,,耗材,針筒,30 ml 針筒,10,個,,,20,20,,,,,,,,,,,20,0,,,, ,
-,,耗材,針筒,20 ml 針筒,20,個,50unit/盒,TERUMO,212,212,2029/1/31,,,,,,,,,,212,0,,,2029/1/31, ,
-,,耗材,針筒,10 ml 針筒,100,個,100unit/盒 ,TERUMO,255,280,2030/11/30,2026/3/2,-25,,,,,,,,255,-25,,,2030/11/30, ,
-,,耗材,針筒,5 ml 針筒,100,個,100unit/盒,TERUMO,224,244,2029/6/30,2026/3/4,-20,,,,,,,,224,-20,,,2029/6/30, ,
-,,耗材,針筒,2.5 mL 針筒,50,個,100unit/盒,特浦,220,230,2030/8/30,2026/3/4,-10,,,,,,,,220,-10,,,2030/8/30, ,
請叫貨,,耗材,針筒,3 ml 針筒(帶針),100,個,100unit/盒,TERUMO,0,0,2026/8/5,,,,,,,,,,0,0,,,2026/8/5, ,
-,,耗材,針筒,1 ml 針筒(帶針),50,個,100unit/盒,TERUMO,110,110,2030/3/30,,,,,,,,,,110,0,,,2030/3/30, ,
請叫貨,,耗材,針桶,50mL灌食空針筒,10,個,50個/盒,特浦,10,10,2028/5/31,,,,,,,,,,10,0,,,2028/5/31, ,
-,,耗材,血糖用品,胰島素注射筆專用針,1,盒,100支/盒,BD Micro-Fine,3,3,2023/6/1,,,,,,,,,,3,0,,,2023/6/1,已過期或即將過期,
請叫貨,,耗材,血糖用品,血糖試紙,1,盒,50個/盒,輔理善,0,0,2025/6/30,,,,,,,,,,0,0,,,2025/6/30,已過期或即將過期,
請叫貨,,耗材,血糖用品,血糖試紙,1,盒,25個/盒,輔理善,0,0,2020/12/30,,,,,,,,,,0,0,,,2020/12/30,已過期或即將過期,
請叫貨,,耗材,血糖用品,血糖採血針(28G),1,盒,100支/盒,輔理善,0,0,2027/5/31,,,,,,,,,,0,0,,,2027/5/31, ,
請叫貨,,耗材,血糖用品,血糖採血針(33G),1,盒,100支/盒,BD,1,1,2021/10/31,,,,,,,,,,1,0,,,2021/10/31,已過期或即將過期,
-,,耗材,針頭,"19 G*1/2"" needle(不鏽鋼針)",1,盒,12支/盒,Rhino 犀牛牌,9,9,,,,,,,,,,,9,0,,,, ,
-,,耗材,針頭,"18 G*1 1/2"" needle(不鏽鋼針)",1,盒,12支/盒,Rhino 犀牛牌,11,11,,,,,,,,,,,11,0,,,, ,
-,,耗材,針頭,"18 G*1"" needle(不鏽鋼針)",1,盒,12支/盒,Rhino 犀牛牌,22,22,,,,,,,,,,,22,0,,,, ,
-,,耗材,針頭,"18 G*1/2"" needle(不鏽鋼針)",1,盒,12支/盒,Rhino 犀牛牌,10,10,,,,,,,,,,,10,0,,,, ,
-,,耗材,針頭,"20G  1 1/2"" needle",20,個,100個/盒,TERUMO,50,100,2026/12/31,2026/3/5,-50,,,,,,,,50,-50,,,2026/12/31, ,
-,,耗材,針頭,"18G  1 1/2"" needle",100,個,100個/盒,TERUMO,200,240,2030/11/30,2026/3/4,-40,,,,,,,,200,-40,,,2030/11/30, ,
-,,耗材,針頭,"21G 1 1/2"" needle",50,個,100個/盒,TERUMO,250,250,2029/2/28,,,,,,,,,,250,0,,,2029/2/28, ,
-,,耗材,針頭,"21G採血針 1 1/2""",100,支,100支/盒，10盒/箱,BD,300,500,2029/3/31,2026/3/2,-200,,,,,,,,300,-200,,,2029/3/31, ,
-,,耗材,IV用,IV set,20,個,100個/箱,惠普,160,180,2022/11/19,2026/3/2,-20,,,,,,,,160,-20,,,2022/11/19,已過期或即將過期,
-,,耗材,針頭,14G  needle(不鏽鋼針),1,盒,10支/盒,,10,10,,,,,,,,,,,10,0,,,, ,
